"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"INNL","Innocoll Holdings","7.5","182532412.5","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl",
"INOD","Innodata Inc.","2.21","56233606.91","n/a","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/inod",
"IPHS","Innophos Holdings, Inc.","38.29","742466150.58","n/a","2006","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/iphs",
"IOSP","Innospec Inc.","48.45","1163140167.45","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/iosp",
"ISSC","Innovative Solutions and Support, Inc.","2.65","44959937.1","n/a","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/issc",
"INVA","Innoviva, Inc.","11.33","1292951467.61","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/inva",
"INGN","Inogen, Inc","45.1","895361280","n/a","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ingn",
"ITEK","Inotek Pharmaceuticals Corporation","10.6375","281078853.675","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itek",
"INOV","Inovalon Holdings, Inc.","17.21","2610981280.72","n/a","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/inov",
"INO","Inovio Pharmaceuticals, Inc.","9.38","677461354.5","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ino",
"NSIT","Insight Enterprises, Inc.","23.82","874312266.3","n/a","1995","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/nsit",
"ISIG","Insignia Systems, Inc.","2.4264","28174711.3776","n/a","1991","Consumer Services","Advertising","http://www.nasdaq.com/symbol/isig",
"INSM","Insmed, Inc.","11.61","718166143.89","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insm",
"IIIN","Insteel Industries, Inc.","27.5403","517385460.3858","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/iiin",
"PODD","Insulet Corporation","29.55","1689065618.55","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/podd",
"INSY","Insys Therapeutics, Inc.","13.34","953945934.6","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insy",
"NTEC","Intec Pharma Ltd.","3.2","36634211.2","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ntec",
"IART","Integra LifeSciences Holdings Corporation","72.95","2715118463.2","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/iart",
"IDTI","Integrated Device Technology, Inc.","20.5","2775151133","n/a","1984","Technology","Semiconductors","http://www.nasdaq.com/symbol/idti",
"IESC","Integrated Electrical Services, Inc.","14.2","304764858.8","n/a","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/iesc",
"INTC","Intel Corporation","30.145","142344690000","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/intc",
"IQNT","Inteliquent, Inc.","16.12","549379078.56","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/iqnt",
"NTLA","Intellia Therapeutics, Inc.","25.61","0","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/ntla",
"IPCI","Intellipharmaceutics International Inc.","1.89","46618915.77","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipci",
"IPAR","Inter Parfums, Inc.","30.99","961864985.85","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ipar",
"IBKR","Interactive Brokers Group, Inc.","37.31","15186137784.09","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ibkr",
"ININ","Interactive Intelligence Group, Inc.","36.75","809671957.5","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inin",
"ICPT","Intercept Pharmaceuticals, Inc.","140.98","3467441164.6","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/icpt",
"ICLD","InterCloud Systems, Inc","0.7191","18684536.3784","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icld",
"ICLDW","InterCloud Systems, Inc","0.37","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icldw",
"IDCC","InterDigital, Inc.","55.59","1921918462.23","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","16.54","1089735005.5","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tile",
"LINK","Interlink Electronics, Inc.","8.25","60441752.25","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/link",
"IMI","Intermolecular, Inc.","1.99","98548368.07","n/a","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/imi",
"INAP","Internap Corporation","2.46","137501850.06","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inap",
"IBOC","International Bancshares Corporation","26.1","1720863749.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/iboc",
"ISCA","International Speedway Corporation","33.59","1560778731.43","n/a","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/isca",
"IGLD","Internet Gold Golden Lines Ltd.","14.05","269804763.3","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/igld",
"IIJI","Internet Initiative Japan, Inc.","10.35","21314748.6","2059396","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/iiji",
"IDXG","Interpace Diagnostics Group, Inc.","0.3603","6544010.3613","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/idxg",
"XENT","Intersect ENT, Inc.","14.41","406029719.81","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xent",
"INTX","Intersections, Inc.","2.48","58030683.12","n/a","2004","Technology","EDP Services","http://www.nasdaq.com/symbol/intx",
"ISIL","Intersil Corporation","12.04","1625155094.36","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/isil",
"IILG","Interval Leisure Group, Inc.","14.37","826140051.33","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/iilg",
"IILGV","Interval Leisure Group, Inc.","14.17","0","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/iilgv",
"IVAC","Intevac, Inc.","4.64","95815336.48","n/a","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","26.83","511864859.57","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/intl",
"INTLL","INTL FCStone Inc.","25.832","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/intll",
"ITCI","Intra-Cellular Therapies Inc.","33.44","1445699882.88","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itci",
"IIN","IntriCon Corporation","5.75","34395097","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","102.8","26401221827.2","n/a","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","626.68","23851668911.52","n/a","2000","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/isrg",
"INVT","Inventergy Global, Inc.","1.91","8045340.2","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/invt",
"SNAK","Inventure Foods, Inc.","7.25","142195475.25","n/a","1996","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/snak",
"ISTR","Investar Holding Corporation","15.5","113213596.5","n/a","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/istr",
"ISBC","Investors Bancorp, Inc.","11.63","3814804925.03","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/isbc",
"ITIC","Investors Title Company","92.5799","179294493.0154","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/itic",
"NVIV","InVivo Therapeutics Holdings Corp.","5.69","157032028.24","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nviv",
"IVTY","Invuity, Inc.","6.09","81616176.39","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ivty",
"IONS","Ionis Pharmaceuticals, Inc.","34.12","4121115721.16","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ions",
"IPAS","iPass Inc.","1.16","74932752","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/ipas",
"IPGP","IPG Photonics Corporation","85.705","4532743242.47","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/ipgp",
"IRMD","iRadimed Corporation","17.62","194433352.2","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/irmd",
"IRIX","IRIDEX Corporation","11.48","115401816.04","n/a","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/irix",
"IRDM","Iridium Communications Inc","8.25","788023755.75","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/irdm",
"IRDMB","Iridium Communications Inc","306.85","153425000","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/irdmb",
"IRBT","iRobot Corporation","37.94","1099984479.72","n/a","2005","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","10.94","1568668964.72","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/irwd",
"IRCP","IRSA Propiedades Comerciales S.A.","38.25","71721657","1875076","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/ircp",
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF","50.78","73631000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/slqd",
"TLT","iShares 20+ Year Treasury Bond ETF","130.85","5260170000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tlt",
"AIA","iShares Asia 50 ETF","41.8001","351120840","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aia",
"COMT","iShares Commodities Select Strategy ETF","30.89","247120000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/comt",
"IXUS","iShares Core MSCI Total International Stock ETF","49.83","1644390000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ixus",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","38.35","61360000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","29.9537","949532290","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifgl",
"IGF","iShares Global Infrastructure ETF","39.84","1175280000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igf",
"GNMA","iShares GNMA Bond ETF","50.74","60888000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnma",
"JKI","iShares Morningstar Mid-Cap ETF","124.69","211973000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jki",
"ACWX","iShares MSCI ACWI ex US Index Fund","39.91","1779986000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","56.66","6153276000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","52.51","2966815000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj",
"EWZS","iShares MSCI Brazil Small-Cap ETF","9.17","29344000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ewzs",
"MCHI","iShares MSCI China ETF","40.6801","1598727930","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mchi",
"SCZ","iShares MSCI EAFE Small-Cap ETF","50.73","5113584000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/scz",
"EEMA","iShares MSCI Emerging Markets Asia Index Fund","49.51","136152500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eema",
"EEML","iShares MSCI Emerging Markets Latin America Index Fund","28.9","8670000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eeml",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","18.07","349654500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eufn",
"IEUS","iShares MSCI Europe Small-Cap ETF","45.329","52128350","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ieus",
"ENZL","iShares MSCI New Zealand Capped ETF","41.37","138589500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enzl",
"QAT","iShares MSCI Qatar Capped ETF","19.02","41844000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qat",
"UAE","iShares MSCI UAE Capped ETF","16.7799","27686835","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uae",
"IBB","iShares Nasdaq Biotechnology Index Fund","264.09","6589045500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibb",
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","87.3","397215000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/soxx",
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","29.66","57837000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emif",
"ICLN","iShares S&P Global Clean Energy Index Fund","8.74","67298000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icln",
"WOOD","iShares S&P Global Timber & Forestry Index Fund","47.8264","258262560","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wood",
"INDY","iShares S&P India Nifty 50 Index Fund","27.06","857802000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/indy",
"ISHG","iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun","82.26","152181000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ishg",
"IGOV","iShares S&P/Citigroup International Treasury Bond Fund","97.75","454537500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igov",
"MPCT","iShares Sustainable MSCI Global Impact ETF","47.76","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mpct",
"ISLE","Isle of Capri Casinos, Inc.","15.6","635593810.8","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/isle",
"ISRL","Isramco, Inc.","99.93","271578861.63","n/a","1983","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/isrl",
"ITI","Iteris, Inc.","2.48","79455055.92","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/iti",
"ITRI","Itron, Inc.","42.29","1602695509.18","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/itri",
"ITRN","Ituran Location and Control Ltd.","21","492984051","n/a","2005","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/itrn",
"ITUS","ITUS Corporation","2.92","25494163.76","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/itus",
"XXIA","Ixia","9.64","781751317.4","n/a","2000","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xxia",
"IXYS","IXYS Corporation","10.58","333716634.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ixys",
"IZEA","IZEA Inc.","6.7","35777624.8","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/izea",
